184) 0x40f341145b52905d0af17d3344fbe5ab8f47d679
claimable: 256412500000000000000
investment: 9125000000000000000
----
185) 0x03fd9c6a9fd55eea203d2f1e5e6e33ecc42298a6
claimable: 80901000000000000000
investment: 3030000000000000000
----
186) 0x8d24e10d251a575cebe15a18c8f2e9e956f57b60
claimable: 5890400000000000000
investment: 1990000000000000000
----
187) 0x04559347c9c78805cb65f6b290c0f6fb9fd2c3fd
claimable: 59200000000000000000
investment: 2000000000000000000
----
188) 0x8ae39c6ab7f21e06b21e8d725f87f604be371ff9
claimable: 296000000000000000000
investment: 10000000000000000000
----
189) 0x22719197dd5b49c4bce447230dc70f77e74020bc
claimable: 267000000000000000000
investment: 10000000000000000000
----
191) 0xe8c762ae04480c230ee51f7caacf3c3c6a98a5ac
claimable: 29600000000000000000
investment: 10000000000000000000
----
192) 0x5aac509ac03bafc774ce95663e9a42152b61c5de
claimable: 46176000000000000000
investment: 1560000000000000000
----
193) 0x3ecbc92fa89b44de3b631553dbf62463e4534d75
claimable: 267000000000000000000
investment: 10000000000000000000
----
194) 0x13da579450b27523006531dfcf8bb63500e4f871
claimable: 281000000000000000000
investment: 10000000000000000000
----
195) 0x78a607231617d6e0e3719ed3e127e5084f6cb1b6
claimable: 46560000000000000000
investment: 1940000000000000000
----
196) 0x61b0660f216ff73f069f4f68ec5e8ab8795dfe7e
claimable: 14800000000000000000
investment: 500000000000000000
----
197) 0xdc9e7a6a086dbb784c7bd7d84b4884b0ea1f168a
claimable: 14050000000000000000
investment: 500000000000000000
----
198) 0x9b7f13b9b6d2b0d1623fd1e1aef67ecffeb363e9
claimable: 28100000000000000000
investment: 1000000000000000000
----
199) 0x30a23cfa9767f01dd562f8bcc46abfb3e45196a9
claimable: 168600000000000000000
investment: 6000000000000000000
----
200) 0xabaeca5fd546ccfcaebb6fa1b69a6c6bdc9b44ec
claimable: 31472000000000000000
investment: 1120000000000000000
----
201) 0x25b78d4f814f12c6b2e1d87b28a56143e5322be4
claimable: 281000000000000000000
investment: 10000000000000000000
----
202) 0xcf1d71b02aa523f72aca3f312505f01058772d45
claimable: 281000000000000000000
investment: 10000000000000000000
----
203) 0x767868f8bf31973ca8f7559e5ea2cb17537003c5
claimable: 267000000000000000000
investment: 10000000000000000000
----
204) 0xdeda2f75187f96965eb24fd53123f42a5ef342a8
claimable: 88800000000000000000
investment: 3000000000000000000
----
205) 0xf2869c98fb3d1753346449b06c18f27dc6611292
claimable: 37888000000000000000
investment: 1280000000000000000
----
206) 0xc19cf106d03f24de1852919015ef6e5d46cdeb0c
claimable: 296000000000000000000
investment: 10000000000000000000
----
207) 0x61229a2ac51b2430d228f58a2658e1770346f0f6
claimable: 247242000000000000000
investment: 9260000000000000000
----
208) 0xc3646c9f183a7ff16addb0b778221519a1faeac4
claimable: 134760000000000000000
investment: 5615000000000000000
----
209) 0x4888ad1efed510667745edcc3e5b8fd4f40b2752
claimable: 150960000000000000000
investment: 5100000000000000000
----
210) 0x89cbf332571f54e2d1ceaddc2b91b6a96f21df00
claimable: 74000000000000000000
investment: 2500000000000000000
----
211) 0x234cc5b3c115e25efc9e3b9c5bc8bfc6b69cb5e6
claimable: 267000000000000000000
investment: 10000000000000000000
----
212) 0x899530f3464a37920674b536384c299c6a09eeee
claimable: 46992000000000000000
investment: 1760000000000000000
----
213) 0x1689ab3994e413046f3d8e153768c7757a015420
claimable: 56200000000000000000
investment: 2000000000000000000
----
215) 0xa28e98b686096ac65474a27e9b3a80e4072e613f
claimable: 80100000000000000000
investment: 3000000000000000000
----
216) 0x23c8dc48eb57f7748d2ed89886581ff95978efd6
claimable: 24000000000000000000
investment: 1000000000000000000
----
217) 0xa576639a4884fb97648111d0cafe9bc89ff5436a
claimable: 11396000000000000000
investment: 3850000000000000000
----
218) 0x41e0d6fd4f722f39b3168e2cac4da2e0a2b8fe6b
claimable: 29600000000000000000
investment: 1000000000000000000
----
219) 0x12ee88a73ab1d6609863f6c863fc26b017627542
claimable: 25852000000000000000
investment: 920000000000000000
----
220) 0xe7e25b26d7d16689a4ba3f5410b85e30bd297d39
claimable: 58785200000000000000
investment: 2092000000000000000
----
221) 0xef4af552b493cd52ca79765ac29098e5b65c3989
claimable: 281000000000000000000
investment: 10000000000000000000
----
222) 0x559bc75ec6e6ab2079421bbd0ebecad729a60fb2
claimable: 231840000000000000000
investment: 9660000000000000000
----
223) 0x178132f6c553ce96d4b47ec224a5c37e76be39dd
claimable: 240000000000000000000
investment: 10000000000000000000
----
224) 0xe8a1a820cdc94ca5e2726612a8dc0e7b0e33adaa
claimable: 29600000000000000000
investment: 10000000000000000000
----
225) 0xfc6d028371e3eced057f7b8a8a57f7c68ad306d4
claimable: 112140000000000000000
investment: 4200000000000000000
----
226) 0xd0a26322abfaa561da11713e76af4e5611b9a4fd
claimable: 31506000000000000000
investment: 1180000000000000000
----
227) 0x1d446853cb843c890895cc86b94204c44fdfc2b6
claimable: 29600000000000000000
investment: 1000000000000000000
----
228) 0x0ecf9be76baf4fd42867a25e6d0ba376f605c191
claimable: 261664000000000000000
investment: 8840000000000000000
----
229) 0x91e0c71217225a4870a6ef35a7ca0b674941a746
claimable: 101460000000000000000
investment: 3800000000000000000
----
230) 0x07bc70d8b22c9431ed35b9007c7646c77053ca75
claimable: 24000000000000000000
investment: 1000000000000000000
----
231) 0xa6e9ce90646c5624c7cd530422eaa3a6662f1992
claimable: 24000000000000000000
investment: 1000000000000000000
----
232) 0x8754e1ed406a72f8deca5b4c9654ad2db698ba83
claimable: 29600000000000000000
investment: 10000000000000000000
----
233) 0xee48960e29c896a4726a17ec65a9dd39555476b0
claimable: 275840000000000000000
investment: 10000000000000000000
----
234) 0x0495e62e568d477c10de7116c8938350e2da690e
claimable: 56200000000000000000
investment: 2000000000000000000
----
235) 0xeec9aed9d7d5430dbee4f6425c5974a6dce5dd78
claimable: 24000000000000000000
investment: 1000000000000000000
----
236) 0x8818518f5250ed3dc7bcf4e539f6b35b54e29b29
claimable: 281000000000000000000
investment: 10000000000000000000
----
237) 0x08eb3f0457bf0de318f46b886df6805fc788c1d2
claimable: 53133000000000000000
investment: 1990000000000000000
----
238) 0x6789297f7623d5cd5a274df4e82dc0ddc0b96948
claimable: 80286900000000000000
investment: 3007000000000000000
----
239) 0xca9e4ec800b85345b186dcda5c02671a861dc067
claimable: 146583000000000000000
investment: 5490000000000000000
----
